_time;exchange;trading_pair;strategy;type;order_id;size;price;trade_volume;fee;;Sum Trades;PnL;;PnL Net;Date
2018-05-27T12:46:00,000+0000;btcde;btceur;BtcdeGdaxProvideLiquidity;buy;SFBUGC;3,97;6232,000000;-24729,000000;-99,710000;3,968000;3,968000;1057,720000;-466,820000;590,900000;27.05.2018
2018-05-27T14:43:00,000+0000;gdax;BTC-EUR;BtcdeGdaxProvideLiquidity;sell;d27b06c7-30c3-4c07-9b9f-43fcebc9f37d;3,97;6297,790000;24989,630000;0,000000;-3,968000;0,000000;1318,350000;-466,820000;851,530000;27.05.2018
2018-05-28T06:28:00,000+0000;btcde;btceur;BtcdeGdaxProvideLiquidity;buy;KT9C9H;0,5;6113,000000;-3032,000000;-12,230000;0,496000;0,496000;1318,350000;-479,050000;839,300000;28.05.2018
2018-05-28T07:03:00,000+0000;gdax;BTC-EUR;BtcdeGdaxProvideLiquidity;sell;155252bf-6c34-4686-9083-9d7c42d83944;0,5;6180,810000;3065,680000;0,000000;-0,496000;0,000000;1352,030000;-479,050000;872,980000;28.05.2018
2018-05-28T11:42:00,000+0000;btcde;btceur;BtcdeGdaxProvideLiquidity;buy;HFG7XN;0,5;6138,000000;-3076,000000;-12,400000;0,501200;0,501200;1352,030000;-491,450000;860,580000;28.05.2018
2018-05-28T11:45:00,000+0000;gdax;BTC-EUR;BtcdeGdaxProvideLiquidity;sell;68df01da-ab89-450e-8131-ce012f2053b8;0,5;6201,120000;3108,020000;0,000000;-0,501200;0,000000;1384,050000;-491,450000;892,600000;28.05.2018
2018-05-28T12:20:00,000+0000;btcde;btceur;BtcdeGdaxProvideLiquidity;buy;A859FN;2,22;6154,000000;-13682,000000;-55,170000;2,223200;2,223200;1384,050000;-546,620000;837,430000;28.05.2018
2018-05-28T12:22:00,000+0000;gdax;BTC-EUR;BtcdeGdaxProvideLiquidity;sell;8f79a9ef-5c65-463a-80dc-3893dd54aa3b;2,22;6224,590000;13838,300000;0,000000;-2,223200;0,000000;1540,350000;-546,620000;993,730000;28.05.2018
2018-05-28T20:51:00,000+0000;btcde;btceur;BtcdeGdaxProvideLiquidity;buy;FFUEMA;0,32;6153,000000;-1981,000000;-7,990000;0,321900;0,321900;1540,350000;-554,610000;985,740000;28.05.2018
2018-05-28T22:15:00,000+0000;gdax;BTC-EUR;BtcdeGdaxProvideLiquidity;sell;7c6044cd-c944-44c8-98cd-85099eda8662;0,24;6132,160000;1452,770000;-4,360000;-0,236900;0,085000;1540,350000;-558,970000;981,380000;28.05.2018
2018-05-28T22:15:00,000+0000;gdax;BTC-EUR;BtcdeGdaxProvideLiquidity;sell;b9f658d6-1698-4f62-a862-5b238d52de6e;0,09;6222,200000;528,850000;0,000000;-0,085000;0,000000;1540,970000;-558,970000;982,000000;28.05.2018
2018-05-31T13:49:00,000+0000;btcde;btceur;BtcdeGdaxProvideLiquidity;buy;DZ622V;2,79;6403,000000;-17868,000000;-72,050000;2,790500;2,790500;1540,970000;-631,020000;909,950000;31.05.2018
2018-05-31T13:56:00,000+0000;gdax;BTC-EUR;BtcdeGdaxProvideLiquidity;sell;c9e06405-90e4-475c-9b36-ddc570137fbe;2,79;6468,090000;18049,180000;0,000000;-2,790500;0,000000;1722,150000;-631,020000;1091,130000;31.05.2018
2018-05-31T14:50:00,000+0000;btcde;btceur;BtcdeGdaxProvideLiquidity;buy;D88ZYZ;3,01;6397,000000;-19228,000000;-77,530000;3,005800;3,005800;1722,150000;-708,550000;1013,600000;31.05.2018
2018-05-31T14:54:00,000+0000;gdax;BTC-EUR;BtcdeGdaxProvideLiquidity;sell;4a9a90de-5246-4246-94aa-e5aee179f702;3,01;6464,360000;19430,310000;0,000000;-3,005800;0,000000;1924,460000;-708,550000;1215,910000;31.05.2018
2018-06-01T08:40:00,000+0000;btcde;btceur;BtcdeGdaxProvideLiquidity;buy;5CFUET;2,98;6417,000000;-19097,000000;-77,000000;2,976000;2,976000;1924,460000;-785,550000;1138,910000;01.06.2018
2018-06-01T08:53:00,000+0000;gdax;BTC-EUR;BtcdeGdaxProvideLiquidity;sell;bc9923f9-c4ad-4b15-bcf6-cb6cdd9edf05;2,98;6495,290000;19329,980000;0,000000;-2,976000;0,000000;2157,440000;-785,550000;1371,890000;01.06.2018
2018-06-02T10:10:00,000+0000;btcde;btceur;BtcdeGdaxProvideLiquidity;buy;ZXB9A4;0,2;6510,000000;-1292,000000;-5,210000;0,198400;0,198400;2157,440000;-790,760000;1366,680000;02.06.2018
2018-06-02T10:34:00,000+0000;gdax;BTC-EUR;BtcdeGdaxProvideLiquidity;sell;213c43fe-814b-4b3d-9fad-62c2500ef7fd;0,2;6584,300000;1306,330000;0,000000;-0,198400;0,000000;2171,770000;-790,760000;1381,010000;02.06.2018
2018-06-05T21:29:00,000+0000;btcde;btceur;BtcdeGdaxProvideLiquidity;buy;QCU4SP;1,53;6430,000000;-9815,400000;-39,580000;1,526500;1,526500;2171,770000;-830,340000;1341,430000;05.06.2018
2018-06-05T21:29:00,000+0000;gdax;BTC-EUR;BtcdeGdaxProvideLiquidity;sell;a47be30f-9351-41f4-bb4c-c13466b553f3;1,53;6498,400000;9919,820000;0,000000;-1,526500;0,000000;2276,190000;-830,340000;1445,850000;05.06.2018
2018-06-09T23:49:00,000+0000;btcde;btceur;BtcdeGdaxProvideLiquidity;buy;6QERXM;0,24;6449,000000;-1577,000000;-6,360000;0,244600;0,244600;2276,190000;-836,700000;1439,490000;09.06.2018
2018-06-09T23:49:00,000+0000;gdax;BTC-EUR;BtcdeGdaxProvideLiquidity;sell;1e9878e0-a432-4852-a2f8-510fd1fbd02a;0,24;6427,290000;1571,840000;-4,720000;-0,244600;0,000000;2271,030000;-841,420000;1429,610000;09.06.2018
2018-06-10T10:05:00,000+0000;btcde;btceur;BtcdeGdaxProvideLiquidity;buy;YKP8QD;0,1;6119,000000;-607,000000;-2,450000;0,099200;0,099200;2271,030000;-843,870000;1427,160000;10.06.2018
2018-06-10T11:11:00,000+0000;gdax;BTC-EUR;BtcdeGdaxProvideLiquidity;sell;0c0b8fa2-09be-43dc-8257-a689020361e4;0,1;6180,020000;613,060000;0,000000;-0,099200;0,000000;2277,090000;-843,870000;1433,220000;10.06.2018
2018-06-14T14:07:00,000+0000;btcde;btceur;BtcdeGdaxProvideLiquidity;buy;T6RNSW;3,97;5430,000000;-21546,000000;-86,880000;3,968000;3,968000;2277,090000;-930,750000;1346,340000;14.06.2018
2018-06-14T14:07:00,000+0000;gdax;BTC-EUR;BtcdeGdaxProvideLiquidity;sell;46d723b2-0834-4fff-a190-b67823fd417a;3,97;5501,000000;21827,970000;0,000000;-3,968000;0,000000;2559,060000;-930,750000;1628,310000;14.06.2018
2018-06-14T14:07:00,000+0000;gdax;BTC-EUR;BtcdeGdaxProvideLiquidity;sell;977e141c-b6b3-486b-b181-c69e69dccb5a;0,28;5613,120000;1559,100000;0,000000;-0,277800;-0,277800;2559,060000;-930,750000;1628,310000;14.06.2018
2018-06-16T17:15:00,000+0000;btcde;btceur;BtcdeGdaxProvideLiquidity;buy;5UFVC9;0,28;5556,000000;-1543,000000;-6,220000;0,277800;0,000000;2575,160000;-936,970000;1638,190000;16.06.2018
2018-06-24T07:20:00,000+0000;btcde;btceur;BtcdeGdaxProvideLiquidity;buy;4K4G5A;1,29;5005,000000;-6454,400000;-26,030000;1,289600;1,289600;2575,160000;-963,000000;1612,160000;24.06.2018
2018-06-24T10:01:00,000+0000;gdax;BTC-EUR;BtcdeGdaxProvideLiquidity;sell;36923fbe-4069-4376-b966-a032237997ed;1,29;5060,210000;6525,650000;0,000000;-1,289600;0,000000;2646,410000;-963,000000;1683,410000;24.06.2018
2018-06-24T10:13:00,000+0000;btcde;btceur;BtcdeGdaxProvideLiquidity;buy;DRVVKD;4,95;5007,350000;-24787,000000;-99,950000;4,950100;4,950100;2646,410000;-1062,950000;1583,460000;24.06.2018
2018-06-24T10:38:00,000+0000;btcde;btceur;BtcdeGdaxProvideLiquidity;buy;CRSAG4;2,7;5012,000000;-13523,000000;-54,530000;2,698200;7,648300;2646,410000;-1117,480000;1528,930000;24.06.2018
2018-06-24T10:38:00,000+0000;gdax;BTC-EUR;BtcdeGdaxProvideLiquidity;sell;83513938-4a4a-43d1-95b6-db92b70d93b1;4,95;5065,550000;25074,880000;0,000000;-4,950100;2,698200;2646,410000;-1117,480000;1528,930000;24.06.2018
2018-06-24T10:39:00,000+0000;gdax;BTC-EUR;BtcdeGdaxProvideLiquidity;sell;47f3ba6b-72dc-4a6d-9edd-2262cd4962f1;2,7;5067,870000;13674,330000;0,000000;-2,698200;0,000000;3085,620000;-1117,480000;1968,140000;24.06.2018
2018-06-24T11:06:00,000+0000;btcde;btceur;BtcdeGdaxProvideLiquidity;buy;83F6RY;0,24;5040,000000;-1191,000000;-4,800000;0,236400;0,236400;3085,620000;-1122,280000;1963,340000;24.06.2018
2018-06-24T11:08:00,000+0000;gdax;BTC-EUR;BtcdeGdaxProvideLiquidity;sell;6be1837b-929b-4b6f-b40c-3521739af3d3;0,24;5096,210000;1204,690000;0,000000;-0,236400;0,000000;3099,310000;-1122,280000;1977,030000;24.06.2018
2018-06-25T11:04:00,000+0000;btcde;btceur;BtcdeGdaxProvideLiquidity;buy;XPAZ9D;4,7;5264,000000;-24752,000000;-99,810000;4,702100;4,702100;3099,310000;-1222,090000;1877,220000;25.06.2018
2018-06-25T11:07:00,000+0000;gdax;BTC-EUR;BtcdeGdaxProvideLiquidity;sell;98393478-2678-4474-9f57-d17840584746;4,7;5318,230000;25006,740000;0,000000;-4,702100;0,000000;3354,050000;-1222,090000;2131,960000;25.06.2018
2018-06-25T11:19:00,000+0000;btcde;btceur;BtcdeGdaxProvideLiquidity;buy;HVHQ6C;2,87;5280,000000;-15137,000000;-61,040000;2,866900;2,866900;3354,050000;-1283,130000;2070,920000;25.06.2018
2018-06-25T12:01:00,000+0000;gdax;BTC-EUR;BtcdeGdaxProvideLiquidity;sell;c6350ea5-bd01-4e6d-820d-f6cd25709cba;2,87;5342,310000;15315,760000;0,000000;-2,866900;0,000000;3532,810000;-1283,130000;2249,680000;25.06.2018
2018-06-25T12:46:00,000+0000;btcde;btceur;BtcdeGdaxProvideLiquidity;buy;99XT46;1,71;5177,000000;-8833,000000;-35,620000;1,706200;1,706200;3532,810000;-1318,750000;2214,060000;25.06.2018
2018-06-25T12:50:00,000+0000;gdax;BTC-EUR;BtcdeGdaxProvideLiquidity;sell;86875847-1985-4466-9c63-28011e1b6ac9;1,71;5234,700000;8931,650000;0,000000;-1,706200;0,000000;3631,460000;-1318,750000;2312,710000;25.06.2018
2018-06-25T19:33:00,000+0000;btcde;btceur;BtcdeGdaxProvideLiquidity;buy;4SBVT8;1,19;5283,000000;-6288,900000;-25,360000;1,190400;1,190400;3631,460000;-1344,110000;2287,350000;25.06.2018
2018-06-25T19:41:00,000+0000;gdax;BTC-EUR;BtcdeGdaxProvideLiquidity;sell;75651c2a-df10-47bf-81d0-8fd9eed036ec;1,19;5344,460000;6362,050000;0,000000;-1,190400;0,000000;3704,610000;-1344,110000;2360,500000;25.06.2018
2018-06-26T20:32:00,000+0000;btcde;btceur;BtcdeGdaxProvideLiquidity;buy;753WKP;4,71;5255,000000;-24762,000000;-99,850000;4,712000;4,712000;3704,610000;-1443,960000;2260,650000;26.06.2018
2018-06-26T20:52:00,000+0000;gdax;BTC-EUR;BtcdeGdaxProvideLiquidity;sell;50d84ba6-814c-4da6-a1b8-b697249ff7d4;4,71;5311,670000;25028,590000;0,000000;-4,712000;0,000000;3971,200000;-1443,960000;2527,240000;26.06.2018
